First Name,Last Name,Matches Played,Goals Scored,Assists,Shots,Shots on Target,Shots to Shots on Target %,Shots to Goal %,Passes,Completed Passes,Pass accuarcy %
Kylian,Griezmann,21,8,9,56,29,58.33%,22.22%,441,360,87.27%
Kylian,Jr.,19,20,10,81,42,55.56%,14.55%,525,370,87.27%
Lionel,Messi,21,17,9,81,48,78.57%,25%,558,383,91.67%
Cristiano,Messi,25,18,8,82,43,55.56%,21.33%,488,391,89.23%
Kylian,Jr.,22,16,10,51,33,78.57%,24.44%,403,360,89.23%
Harry,Kane,20,19,9,90,58,66.67%,21.33%,700,598,85.71%
Antoine,Griezmann,19,13,13,68,25,66.67%,22.22%,535,482,86.67%
Neymar,De Bruyne,20,15,14,46,32,55.56%,14.55%,465,366,86.67%
Robert,Salah,17,18,12,90,57,63.64%,24.44%,660,600,87.27%
Mohamed,Jr.,18,22,6,90,52,61.54%,24.44%,700,531,85.71%
Neymar,Messi,25,9,5,52,25,55.56%,14.55%,446,370,85.71%
Antoine,Kane,19,20,12,90,52,66.67%,21.33%,700,585,89.23%
Lionel,Salah,22,16,5,46,33,63.64%,25.45%,400,391,83.33%
Lionel,Messi,22,15,6,70,50,54.55%,22.22%,642,564,87.27%
Mohamed,Ronaldo,24,18,11,52,25,56.25%,14.55%,508,373,87.50%
Neymar,Ronaldo,23,8,8,63,26,63.64%,25.45%,439,350,87.50%
Kylian,Kane,18,22,10,90,40,66.67%,14.55%,675,557,83.33%
Robert,Mbappé,16,22,7,72,32,58.33%,22.22%,528,575,87.27%
Kylian,De Bruyne,22,8,10,45,29,63.64%,22.22%,402,428,80%
Kevin,Lewandowski,16,18,6,90,58,78.57%,23.08%,700,583,87.27%
Mohamed,Ronaldo,18,16,10,45,33,56.25%,14.55%,426,407,86.67%
Lionel,Ronaldo,16,12,13,57,34,54.55%,21.33%,520,450,85.71%
Mohamed,De Bruyne,25,21,9,82,43,61.54%,22.22%,500,392,87.50%
Lionel,Jr.,17,20,8,49,37,78.57%,25%,434,462,86.67%
Robert,Lewandowski,18,22,6,90,55,66.67%,21.33%,700,600,89.23%
Kevin,Jr.,16,8,16,60,34,54.55%,14.55%,508,350,86.67%
Harry,Ronaldo,25,18,5,84,60,66.67%,21.33%,700,540,86.67%
Neymar,Salah,25,16,5,79,52,56.25%,22.22%,458,360,80%
Neymar,Mbappé,17,22,6,90,27,54.55%,14.55%,536,414,87.27%
Mohamed,Messi,24,22,9,86,49,78.57%,25.71%,608,543,85.71%
Neymar,Ronaldo,24,22,6,90,50,78.57%,25.45%,579,563,83.33%
Robert,Messi,19,21,5,90,51,66.67%,21.33%,696,574,89.23%
Lionel,Ronaldo,25,16,5,60,34,78.57%,25%,673,562,80%
Cristiano,Mbappé,23,15,5,64,32,58.33%,25%,400,379,83.33%
Harry,De Bruyne,22,11,8,55,34,55.56%,22.22%,474,354,83.33%
Harry,Messi,18,12,5,90,42,66.67%,21.33%,691,600,80%
Cristiano,Ronaldo,22,12,6,90,42,56.25%,25%,457,425,91.67%
Kylian,Ronaldo,17,10,9,53,25,54.55%,22.22%,534,464,80%
Cristiano,Griezmann,19,8,18,63,32,54.55%,14.55%,524,369,91.67%
Kevin,Griezmann,18,14,8,51,25,66.67%,20%,472,361,87.50%
Lionel,De Bruyne,18,15,8,71,41,55.56%,25.45%,432,366,87.50%
Robert,Kane,21,9,8,63,48,63.64%,25.71%,579,369,89.23%
Lionel,Jr.,18,13,9,64,28,61.54%,14.55%,700,382,87.27%
Mohamed,Griezmann,24,22,5,86,41,78.57%,25.71%,538,540,85.71%
Robert,Lewandowski,20,22,5,90,57,66.67%,21.33%,700,600,89.23%
Kevin,De Bruyne,19,15,8,63,26,58.33%,14.55%,642,435,86.67%
Mohamed,Kane,24,18,10,90,44,58.33%,21.33%,617,581,89.23%
Kevin,Jr.,21,13,8,48,25,55.56%,20%,456,371,87.50%
Kylian,De Bruyne,16,11,9,49,31,54.55%,25.45%,458,475,86.67%
Cristiano,Ronaldo,25,13,7,59,44,56.25%,20%,400,383,80%
Cristiano,Ronaldo,24,22,5,90,48,56.25%,25.71%,656,389,91.67%
Harry,De Bruyne,18,9,9,86,51,54.55%,21.33%,674,597,83.33%
Lionel,Kane,16,14,16,66,26,66.67%,14.55%,455,350,89.23%
Neymar,Jr.,20,12,5,63,28,55.56%,25.45%,400,390,89.23%
Kevin,De Bruyne,17,19,12,59,48,58.33%,24.44%,700,382,91.67%
Kevin,Griezmann,16,8,5,49,35,55.56%,25.45%,497,359,87.50%
Kylian,Griezmann,18,22,8,63,50,54.55%,25%,490,593,86.67%
Neymar,De Bruyne,20,14,15,71,31,63.64%,14.55%,468,478,87.27%
Neymar,Lewandowski,19,9,9,59,30,54.55%,24.44%,525,377,86.67%
Neymar,Lewandowski,20,22,8,71,28,61.54%,25.71%,535,353,87.27%
Robert,Ronaldo,16,9,12,90,36,66.67%,25%,700,501,89.23%
Kylian,Salah,20,11,6,90,56,61.54%,25.71%,533,383,87.27%
Robert,Lewandowski,16,22,6,90,46,66.67%,21.33%,700,550,89.23%
Kevin,Mbappé,18,19,11,59,32,78.57%,14.55%,406,477,87.50%
Cristiano,Kane,18,22,9,90,48,61.54%,21.33%,643,597,89.23%
Cristiano,Ronaldo,25,22,5,77,26,56.25%,22.22%,400,399,80%
Harry,Lewandowski,17,22,6,90,49,66.67%,24.44%,664,558,89.23%
Harry,Jr.,20,20,8,78,34,54.55%,20%,699,585,85.71%
Harry,Griezmann,18,20,5,88,60,66.67%,21.33%,700,600,85.71%
Neymar,Griezmann,24,8,11,55,25,63.64%,22.22%,517,415,86.67%
Robert,Kane,17,20,7,90,39,66.67%,21.33%,700,600,89.23%
Kylian,De Bruyne,19,15,5,74,29,78.57%,22.22%,605,361,86.67%
Neymar,De Bruyne,24,20,5,71,28,63.64%,21.33%,489,401,83.33%
Harry,Lewandowski,17,22,19,90,53,54.55%,25.71%,609,558,87.50%
Mohamed,Salah,23,10,7,46,53,61.54%,22.22%,473,390,87.50%
Lionel,Messi,24,22,9,90,60,78.57%,21.33%,699,528,91.67%
Neymar,Jr.,25,20,10,49,27,63.64%,23.08%,406,383,83.33%
Mohamed,Kane,20,16,7,90,56,61.54%,23.08%,570,575,89.23%
Robert,Salah,17,16,7,90,60,56.25%,25.71%,528,526,87.50%
Kevin,De Bruyne,22,17,6,67,41,56.25%,23.08%,528,379,87.27%
Kevin,De Bruyne,24,9,20,62,29,54.55%,25.45%,496,377,89.23%
Lionel,Ronaldo,22,15,13,45,27,66.67%,25.71%,454,373,87.27%
Cristiano,Ronaldo,23,19,5,90,40,78.57%,25%,700,600,80%
Mohamed,Jr.,23,22,8,90,46,78.57%,22.22%,700,477,83.33%
Kylian,Jr.,20,15,8,57,25,55.56%,22.22%,470,388,91.67%
Neymar,Jr.,16,22,10,61,28,58.33%,23.08%,482,477,80%
Lionel,Ronaldo,25,17,8,88,42,56.25%,25%,526,420,80%
Antoine,Mbappé,22,10,7,45,25,56.25%,22.22%,400,376,87.50%
Cristiano,Lewandowski,16,19,7,87,30,58.33%,25.45%,689,586,85.71%
Cristiano,Messi,20,22,7,90,53,58.33%,24.44%,695,557,83.33%
Cristiano,Ronaldo,23,9,10,69,42,78.57%,25%,484,369,89.23%
Cristiano,Salah,21,20,8,68,34,58.33%,25.45%,546,379,91.67%
Harry,Jr.,18,20,6,72,26,61.54%,14.55%,516,476,87.27%
Robert,Ronaldo,19,22,10,86,56,56.25%,25%,662,577,87.27%
Mohamed,Jr.,16,16,8,69,35,58.33%,21.33%,485,433,87.50%
Robert,Messi,23,18,6,79,53,66.67%,21.33%,655,597,80%
Kevin,Mbappé,17,14,8,67,49,54.55%,21.33%,599,600,87.27%
Kylian,Jr.,23,8,15,53,27,78.57%,22.22%,424,353,83.33%
Neymar,Ronaldo,21,16,8,47,25,61.54%,25.71%,511,449,87.27%
Lionel,Griezmann,23,14,5,58,25,56.25%,25.45%,410,375,87.27%
Harry,Lewandowski,19,21,12,90,48,66.67%,24.44%,700,600,89.23%
Neymar,Lewandowski,17,19,19,49,30,54.55%,21.33%,518,445,86.67%
Neymar,De Bruyne,21,21,8,90,43,78.57%,24.44%,534,430,91.67%
Robert,Messi,16,21,7,76,40,63.64%,14.55%,540,386,87.27%
Antoine,Mbappé,18,20,7,90,39,55.56%,25.71%,532,567,89.23%
Neymar,Jr.,21,10,8,60,33,54.55%,25.45%,489,376,86.67%
Kylian,Lewandowski,18,19,5,83,54,63.64%,25.71%,632,388,91.67%
Cristiano,Jr.,23,11,9,49,25,55.56%,22.22%,400,382,87.50%
Kevin,Kane,20,19,13,68,48,78.57%,25%,700,573,86.67%
Mohamed,Griezmann,17,8,15,58,28,63.64%,25.45%,488,386,83.33%
Kevin,Mbappé,24,8,9,45,26,55.56%,22.22%,548,350,83.33%
Harry,Messi,25,22,6,66,51,66.67%,25.71%,656,360,91.67%
Mohamed,Kane,18,22,10,84,54,66.67%,23.08%,684,546,85.71%
Cristiano,Ronaldo,23,18,5,90,48,66.67%,24.44%,687,561,87.50%
Cristiano,Ronaldo,24,20,10,90,49,78.57%,25.71%,700,530,89.23%
